City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
63,Abu Zabad,SD,79.12,broken clouds,12.35,29.25,حامد محمد نور
65,Busselton,AU,61.09,light rain,-33.65,115.3333,Observatory Guest House
67,Oussouye,SN,77.18,overcast clouds,12.485,-16.5469,Auberge du Routard
68,Bluff,NZ,45.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
69,Geraldton,AU,43.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
70,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
71,East London,ZA,55.58,clear sky,-33.0153,27.9116,Tu Casa
73,Basco,PH,85.42,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
74,Raudeberg,NO,56.95,overcast clouds,61.9875,5.1352,Nordre Silda.
75,Godda,IN,79.66,overcast clouds,24.8333,87.2167,HOTEL TUSH TAYA RESIDENCY
76,Kingston Upon Hull,GB,57.96,overcast clouds,53.7446,-0.3353,Premier Inn Hull City Centre hotel
77,Nanortalik,GL,41.97,light rain,60.1432,-45.2371,Hotel Kap Farvel
78,Rakiv Lis,UA,58.66,clear sky,51.6217,24.9243,Turiya Hotelʹ
79,Rocha,UY,58.84,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
80,Dingle,PH,78.35,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
82,Thompson,CA,60.96,mist,55.7435,-97.8558,Burntwood Hotel
84,Kangaatsiaq,GL,39.2,overcast clouds,68.3065,-53.4641,Nukissiorfiit
85,Strezhevoy,RU,55.67,broken clouds,60.7333,77.5889,Sibiryachka
86,Bethel,US,84.85,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
89,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
90,Deputatskiy,RU,58.51,overcast clouds,69.3,139.9,Baza Otdykha
91,San Quintin,MX,72.82,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
92,Camana,PE,61.11,scattered clouds,-16.6228,-72.7111,Hostal Morales
93,Porto Murtinho,BR,81.54,clear sky,-21.6989,-57.8825,Hotel Pantanal
94,Torbay,CA,72.37,broken clouds,47.6666,-52.7314,Gallows Cove
95,Jamestown,US,71.94,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
96,Victoria,HK,89.19,overcast clouds,22.2855,114.1577,Mini Central
97,Tagusao,PH,80.01,overcast clouds,9.1924,117.8141,Caycay future beach resort
98,Ahipara,NZ,56.46,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
99,Morgan City,US,85.01,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
100,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
101,New Norfolk,AU,51.93,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
102,Vallenar,CL,62.35,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
103,Butaritari,KI,82.65,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
104,Kattivakkam,IN,82.08,overcast clouds,13.2167,80.3167,Euronova Freezer
105,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
107,Upernavik,GL,39.51,scattered clouds,72.7868,-56.1549,Café de Upernavik
108,Tura,IN,73.04,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
110,Korla,CN,78.85,few clouds,41.7597,86.1469,Gulisitan Hotel
111,Lima,PE,67.89,overcast clouds,-12.0432,-77.0282,Hotel Kamana
112,Vangaindrano,MG,67.06,broken clouds,-23.35,47.6,Hotel Fanilo
113,Mataura,NZ,45.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
114,Alice Springs,AU,40.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
115,Ribeira Grande,PT,75.31,few clouds,38.5167,-28.7,Quinta da Meia Eira
117,Yellowknife,CA,72.12,broken clouds,62.456,-114.3525,The Explorer Hotel
118,Cidreira,BR,61.2,few clouds,-30.1811,-50.2056,Hotel Castelo
119,Paamiut,GL,44.71,scattered clouds,61.994,-49.6678,Pistut
120,Ponta Do Sol,PT,84.83,broken clouds,32.6667,-17.1,Hotel do Campo
121,Carnarvon,AU,60.33,clear sky,-24.8667,113.6333,Hospitality Carnarvon
122,Mar Del Plata,AR,54.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
123,Nurota,UZ,86.29,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
124,Kangundo,KE,61.14,broken clouds,-1.2979,37.3471,Kmercy Suites
125,Pacific Grove,US,72.01,few clouds,36.6177,-121.9166,Lovers Point Inn
126,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
127,Dudinka,RU,52.63,overcast clouds,69.4058,86.1778,Hotel Viktoria
129,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
130,Sawtell,AU,62.62,clear sky,-30.3833,153.1,The Bungalow Sawtell
131,Kudahuvadhoo,MV,78.37,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
132,Port Lincoln,AU,53.11,clear sky,-34.7333,135.8667,Port Lincoln Hotel
135,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
136,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
138,Constitucion,CL,53.44,light rain,-35.3333,-72.4167,Hotel Boutique Las Azucenas
140,Gravdal,NO,55.9,broken clouds,68.1214,13.5031,Skreda Rorbusuiter
141,Lata,PT,59.76,clear sky,40.1629,-8.3327,Casa Maquia
142,Touros,BR,74.35,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
143,Gazli,UZ,88.38,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
145,Atuona,PF,77.45,scattered clouds,-9.8,-139.0333,Villa Enata
146,Barrow,US,37.94,broken clouds,71.2906,-156.7887,King Eider Inn
147,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
148,Codrington,AU,50.38,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
150,Qasigiannguit,GL,37.22,overcast clouds,68.8193,-51.1922,Almost HOME
153,Wenling,CN,81.21,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
154,Palu,ID,76.12,light rain,-0.8917,119.8707,Hotel Santika Palu
155,Comodoro Rivadavia,AR,40.86,overcast clouds,-45.8667,-67.5,Austral Hotel
156,Benalla,AU,45.86,broken clouds,-36.55,145.9833,Rose City Motor Inn
157,Kirakira,SB,83.44,broken clouds,-10.4544,161.9205,SanBiz Lodge
158,Visby,SE,70.02,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
159,Gimli,CA,74.41,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
160,Ludvika,SE,61.77,overcast clouds,60.1496,15.1878,Ludvika Stadshotell
161,Ferme-Neuve,CA,65.62,broken clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
162,Poco Verde,BR,65.34,overcast clouds,-10.7083,-38.1833,Hotel Santa Cruz
163,Polson,US,85.71,overcast clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
164,Chuy,UY,57.67,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
165,Byumba,RW,62.8,overcast clouds,-1.5763,30.0675,RGC206 [AIRTEL]
168,Bambanglipuro,ID,68.49,overcast clouds,-7.95,110.2833,Puri Brata
169,Cherskiy,RU,53.29,overcast clouds,68.75,161.3,Gostinitsa
170,Dali,CN,60.73,light rain,25.7,100.1833,Dali Travelling With Hostel
172,Khatanga,RU,69.75,few clouds,71.9667,102.5,"""Khatanga"""
173,Mao,ES,81.16,scattered clouds,39.8885,4.2658,ARTIEM Capri
174,Saint-Philippe,RE,65.21,scattered clouds,-21.3585,55.7679,Le four à pain
175,Najran,SA,79.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
176,Kavaratti,IN,81.41,scattered clouds,10.5669,72.642,Green leaf
177,Tigil,RU,62.4,overcast clouds,57.8,158.6667,Tigil'
178,Yar-Sale,RU,46.54,broken clouds,66.8333,70.8333,Yalemd
179,College,US,74.59,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
180,Zhetysay,KZ,78.57,clear sky,40.7333,68.3,Gostinitsa Den
181,Great Yarmouth,GB,63.41,scattered clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
182,Iqaluit,CA,47.93,few clouds,63.7506,-68.5145,Frobisher Inn
184,Chumikan,RU,55.47,overcast clouds,54.7183,135.315,Fortuna
185,Alyangula,AU,66.07,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
186,Sterling,US,80.89,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
187,Kota Kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
188,Lompoc,US,87.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
189,Khani,GE,53.17,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
190,Aklavik,CA,75.07,scattered clouds,68.2191,-135.0107,Aklavik Inn
191,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
192,Kulhudhuffushi,MV,81.23,overcast clouds,6.6221,73.07,Haajy Guest House 1
193,Saint George,US,79.39,thunderstorm,37.1041,-113.5841,Best Western Plus Abbey Inn
194,Kirkwall,GB,50.97,broken clouds,58.9848,-2.9587,Kirkwall Hotel
195,Kavieng,PG,82.56,light rain,-2.5744,150.7967,Nusa Island Retreat
198,Salalah,OM,76.1,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
199,Butterworth,MY,78.84,few clouds,5.3991,100.3638,Cititel Penang
200,Half Moon Bay,US,81.41,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
201,Vao,NC,69.4,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
202,Bonthe,SL,75.04,broken clouds,7.5264,-12.505,Bonthe Holiday Village
203,Shingu,JP,83.53,overcast clouds,33.7333,135.9833,Shingu UI Hotel
204,El Alto,PE,67.66,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
205,Port Hedland,AU,60.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
206,Bilibino,RU,52.45,scattered clouds,68.0546,166.4372,Gostinitsa Severyanka
207,San Juan De La Maguana,DO,77.5,scattered clouds,18.8059,-71.2299,Hotel Maguana
208,Pisco,PE,60.85,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
210,Mayo,US,82.15,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
211,Vossevangen,NO,54.54,overcast clouds,60.623,6.4229,Fleischer's Hotel
212,Coihaique,CL,30.15,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
213,Castro,BR,60.37,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
215,Bredasdorp,ZA,47.01,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
216,Haines Junction,CA,71.55,overcast clouds,60.7522,-137.5108,Parkside Inn
218,Sidi Ali,DZ,81.43,scattered clouds,36.0998,0.4206,Complexe touristique haje bezine
219,West Bay,KY,88.07,few clouds,19.3667,-81.4167,Calypso Cove
220,Severo-Kurilsk,RU,53.42,overcast clouds,50.6789,156.125,Kak Doma
221,Pevek,RU,37.45,overcast clouds,69.7008,170.3133,Severnoye Zoloto
222,Westport,US,86.27,overcast clouds,41.1415,-73.3579,The Westport Inn
223,Taft,IR,87.75,dust,31.7471,54.2088,عمارت ساعتی تفت
224,Santa Cruz,BO,82.45,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
225,Port Angeles,US,83.57,clear sky,48.1181,-123.4307,Red Lion Hotel Port Angeles Harbor
226,Tual,ID,79.59,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
227,Vitim,RU,74.88,clear sky,59.4511,112.5578,Gostinitsa V Apteke
228,Bandarbeyla,SO,76.84,scattered clouds,9.4942,50.8122,JABIR HOTEL
229,Den Helder,NL,66.18,broken clouds,52.9599,4.7593,Hotel Den Helder
230,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
231,Valpoi,IN,75.78,overcast clouds,15.5305,74.1356,Cajueiro Homestead
232,Kushima,JP,81.23,clear sky,31.4583,131.2333,Hanaoka
233,Sao Filipe,CV,78.55,overcast clouds,14.8961,-24.4956,Hotel Xaguate
234,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
235,Serafimovich,RU,60.62,scattered clouds,49.5786,42.736,Donskiye Prostory
237,Leominster,US,82.26,broken clouds,42.5251,-71.7598,DoubleTree by Hilton Hotel Leominster
239,Popondetta,PG,82.42,scattered clouds,-8.7537,148.2534,Timos Transit House
240,Havoysund,NO,52.03,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
241,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
242,Manokwari,ID,79.54,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
243,Heihe,CN,70.38,clear sky,50.2441,127.4902,Hotel Strannik
244,Kalmunai,LK,79.61,light rain,7.4167,81.8167,VS Villa
245,Hasaki,JP,79.2,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
246,Mercedes,AR,62.04,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
247,Kuytun,RU,52.95,light rain,54.3419,101.5036,Gostinitsa Tsentral'naya
248,Almeirim,BR,77.58,broken clouds,-1.5233,-52.5817,Ricácio Hotel
249,Sosua,DO,78.71,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
250,Christchurch,NZ,50.92,mist,-43.5333,172.6333,The George
251,Port Augusta,AU,48.74,clear sky,-32.5,137.7667,Majestic Oasis Apartments
252,Coro,VE,80.82,scattered clouds,11.4045,-69.6734,Federal
253,Ulaanbaatar,MN,55.53,broken clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
254,Nome,US,53.67,moderate rain,64.5011,-165.4064,Dredge 7 Inn
255,Naze,JP,79.72,clear sky,28.3667,129.4833,Shishime Hotel
256,Carutapera,BR,77.02,overcast clouds,-1.195,-46.02,Lidera
257,Saldanha,ZA,53.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
258,Ambulu,ID,69.17,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
259,Mino,JP,85.84,scattered clouds,34.8269,135.4706,Ooedo Onsen Monogatari Minoh Kankō Hotel
260,Chifeng,CN,73.17,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
263,Coquimbo,CL,55.13,few clouds,-29.9533,-71.3436,Hotel San Juan
264,Pindushi,RU,62.06,overcast clouds,62.9152,34.58,Solnechnyy
265,Ust-Ishim,RU,61.43,scattered clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
266,Kamina,CD,62.47,few clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
267,Tuatapere,NZ,45.12,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
271,Norman Wells,CA,77.04,few clouds,65.282,-126.8329,Heritage Hotel
272,Ust-Nera,RU,72.48,clear sky,64.5667,143.2,Hotel Ust-Nera
273,Nanakuli,US,85.37,broken clouds,21.3906,-158.1547,Camp Pālehua
274,Ozinki,RU,63.05,scattered clouds,51.1786,49.6769,Korolevskiy Dvor
275,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
276,Mapiripan,CO,74.52,broken clouds,2.8892,-72.1256,Monserrate
277,Stornoway,GB,51.93,overcast clouds,58.2093,-6.3865,Caladh Inn
279,Axim,GH,74.46,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
280,Olovyannaya,RU,61.93,overcast clouds,50.95,115.5667,Gostinitsa
281,Coahuayana,MX,83.34,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
282,Ochakiv,UA,71.2,clear sky,46.6128,31.5498,Briz
283,Olafsvik,IS,52.75,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
284,Kampong Cham,KH,77.18,overcast clouds,11.9934,105.4635,7 Makara Hotel
285,Vila Velha,BR,70.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
287,Gashua,NG,88.05,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
288,Fortuna,US,73.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
289,Puerto Madryn,AR,46.74,light rain,-42.7692,-65.0385,Hotel Tolosa
290,Palomares,MX,80.47,overcast clouds,17.15,-95.0667,Hotel Monarca
291,Mount Gambier,AU,49.93,overcast clouds,-37.8333,140.7667,The Commodore
292,Katsuura,JP,80.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
293,Miranda,CO,73.53,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
296,Innisfail,AU,69.39,overcast clouds,-17.5333,146.0333,Moondarra Motel
297,Port Hawkesbury,CA,81.52,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
298,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
299,Hassleholm,SE,65.75,overcast clouds,56.1591,13.7664,Göingehof
300,Hamilton,US,79.86,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
301,Hambantota,LK,77.88,light rain,6.1241,81.1185,Bungalow 63
302,Krasnyy Yar,RU,67.93,few clouds,46.5331,48.3456,Cottege near Ufa
303,Lorengau,PG,81.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
304,Hovd,MN,55.54,clear sky,48.0056,91.6419,Hotel Khovd
305,Metro,ID,72.25,light rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
306,Abonnema,NG,73.81,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
307,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
308,Hobyo,SO,75.25,clear sky,5.3505,48.5268,Iftin hotel hobyo
309,Lazaro Cardenas,MX,82.87,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
310,Samarai,PG,79.21,broken clouds,-10.6167,150.6667,Nuli Sapi
311,Luban,PL,75.02,overcast clouds,51.1201,15.2877,Motel Łużycki
312,Qinnan,CN,80.85,clear sky,33.2531,119.9133,Tinghu Hotel
315,Galesong,ID,69.82,few clouds,-5.3166,119.3661,Sapriadi Appy
316,Sinnamary,GF,79.16,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
320,Salta,AR,73.99,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
322,Mandalgovi,MN,60.67,overcast clouds,45.7625,106.2708,В.Ганбат
323,Goderich,CA,69.91,clear sky,43.7501,-81.7165,Harmony Inn
324,Zhigansk,RU,67.71,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
325,Sept-Iles,CA,63.12,light intensity shower rain,50.2001,-66.3821,Comfort Inn
326,Luena,AO,56.32,clear sky,-11.7833,19.9167,Hotel Kandamba
327,Hvolsvollur,IS,50.13,overcast clouds,63.7533,-20.2243,Hotel Rangá
328,Palmer,US,85.24,broken clouds,42.1584,-72.3287,Wedgewood Motel
330,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
331,Ruteng,ID,60.1,broken clouds,-8.6136,120.4721,Hotel FX 72
332,Maniitsoq,GL,41.23,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
333,Dong Hoi,VN,77.18,broken clouds,17.4833,106.6,Nam Long Hotel
334,Syamzha,RU,57.81,broken clouds,60.0158,41.0614,Hotel Syamzha
335,North Bend,US,88.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
337,Taltal,CL,58.51,scattered clouds,-25.4,-70.4833,Residencial Karime
338,Sturgeon Bay,US,75.56,broken clouds,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
339,Harer,ET,60.17,overcast clouds,9.3094,42.1258,Amir Cultural Harari Guesthouse
340,Gurupi,BR,79.36,broken clouds,-11.7292,-49.0686,Via Norte Hotel
341,Vilyuysk,RU,72.81,clear sky,63.7553,121.6247,Gostinitsa Viliuisk
343,Pangody,RU,51.84,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
344,Contai,IN,79.99,heavy intensity rain,21.7786,87.7536,PATHFINDER
345,Gejiu,CN,57.72,few clouds,23.306,103.1635,Yixuanzhuang Banshan Guesthouse
346,Slupsk,PL,70.45,light rain,54.4641,17.0287,Hotel Pod Kluką
347,Nyurba,RU,75.24,few clouds,63.2842,118.3319,"Гостиница ""Comfort"""
348,Sao Tome,ST,74.7,overcast clouds,0.3365,6.7273,Pestana Miramar São Tomé
350,Vardo,NO,53.58,overcast clouds,70.3705,31.1107,Vardø Hotel AS
351,Makakilo City,US,83.95,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
352,Terney,RU,74.01,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
353,Tazovskiy,RU,49.05,overcast clouds,67.4667,78.7,TazHostel
354,Farafangana,MG,67.12,light rain,-22.8167,47.8333,Miarina
355,Zabaykalsk,RU,63.9,overcast clouds,49.6333,117.3167,Zheleznyy Mir
357,Zhangye,CN,73.13,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
358,Hofn,IS,51.22,broken clouds,64.2539,-15.2082,Hótel Höfn
359,Leo,BF,75.13,scattered clouds,11.1,-2.1,Hotel Sissilis
360,Piacabucu,BR,72.7,broken clouds,-10.4056,-36.4344,Piaçabuçu News
362,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
363,Scarborough,GB,56.91,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
365,Springbok,ZA,54.27,clear sky,-29.6643,17.8865,Undulata Country Lodge
366,Tomatlan,MX,82.17,overcast clouds,19.9333,-105.25,El Salvial
367,Macapa,BR,80.58,broken clouds,0.0389,-51.0664,Atalanta Hotel
368,Carahue,CL,49.98,overcast clouds,-38.7,-73.1667,Hospedaje Familiar
369,Jawhar,SO,72.23,clear sky,2.7809,45.5005,Hotel Shabelle
371,Moultrie,US,83.82,clear sky,31.1799,-83.7891,Moultrie Inn
372,Bonavista,CA,65.21,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
373,Boali,CF,70.72,light rain,4.8005,18.1275,Auberge des Cocotiers Boali poste
